	context	question-X	canquestion-X	answer-Y	judgements	goldstandard1	goldstandard2	Label	Annotation_1	Annotation_2	Annotation_3	Annotation_4	Annotation_5
0	X wants to know about Y's music preferences.	Do you know how to read a music sheet?	I know how to read a music sheet .	I'm a trained musician.	Yes#Yes#Yes#Yes#Yes	Yes	Yes	1	1	1	1	1	1
1	X wants to know what sorts of books Y likes to read.	Do you ever read books with illustrations?	I read books with illustrations .	If the plot is good.	Yes, subject to some conditions#Yes, subject to some conditions#Probably yes / sometimes yes#Yes, subject to some conditions#Yes	Yes, subject to some conditions	Yes, subject to some conditions	3	3	3	1	3	1
2	Y has just told X that he/she is thinking of buying a flat in New York.	Are you looking for a place with more than one bathroom?	I am looking for a place with more than one bathroom .	That would be ideal.	Yes#Probably yes / sometimes yes#In the middle, neither yes nor no#Probably yes / sometimes yes#Yes		Yes	1	1	1	4	1	1
3	Y has just moved into a neighbourhood and meets his/her new neighbour X.	Were you born in this country?	I was born in this country .	I was born in Africa.	No#In the middle, neither yes nor no#Probably no#No#No	No	No	2	2	4	2	2	2
4	X wants to know about Y's food preferences.	Do you like to eat fast food?	I like to eat fast food .	I love burgers.	Yes#Yes#Probably yes / sometimes yes#Yes#Yes	Yes	Yes	1	1	1	1	1	1
5	X wants to know about Y's music preferences.	Would you prefer a club over a music festival?	I would prefer a club over a music festival .	I enjoy the variety of a music festival.	No#No#No#No#Other	No	No	2	2	2	2	2	5
6	X wants to know what sorts of books Y likes to read.	Are you interest in current science fiction books?	I am interest in current science fiction books .	I read a lot of new sci-fi.	Yes#Yes#Yes#Yes#Yes	Yes	Yes	1	1	1	1	1	1
7	Y has just moved into a neighbourhood and meets his/her new neighbour X.	Are you planning any trips this year?	I am planning trips this year .	We're going to France in the spring.	Yes#Yes#Yes#Yes#Yes	Yes	Yes	1	1	1	1	1	1
8	X and Y are childhood neighbours who unexpectedly run into each other at a cafe.	Still working at Macy's?	I am still working at Macy 's .	I went to a competitor last year.	No#No#No#No#No	No	No	2	2	2	2	2	2
9	Y has just told X that he/she is thinking of buying a flat in New York.	Is that your dream home?	That is my dream home .	It's only temporary.	In the middle, neither yes nor no#In the middle, neither yes nor no#In the middle, neither yes nor no#No#Probably no	In the middle, neither yes nor no	In the middle, neither yes nor no	4	4	4	4	2	2
10	X and Y are childhood neighbours who unexpectedly run into each other at a cafe.	Do you like parties?	I like parties .	Not really a fan of parties.	No#No#No#No#Probably no	No	No	2	2	2	2	2	2
11	X wants to know what sorts of books Y likes to read.	Did you ever read Tolstoy in school?	I did read Tolstoy in school .	I just finished it recently.	In the middle, neither yes nor no#Yes#Probably no#I am not sure how X will interpret Y’s answer#Yes			6	4	1	2	4	1
12	Y has just told X that he/she is thinking of buying a flat in New York.	Is it worth it?	It is worth .	I think it is	Yes#Yes#Yes#Yes#Probably yes / sometimes yes	Yes	Yes	1	1	1	1	1	1
13	Y has just moved into a neighbourhood and meets his/her new neighbour X.	Have you been to the park?	I have been to the park .	We haven't had a chance to explore yet.	No#No#No#No#Probably no	No	No	2	2	2	2	2	2
14	Y has just travelled from a different city to meet X.	Do you want to go sightseeing this weekend?	I want to go sightseeing this weekend .	I would love to see all the tourist spots on Saturday.	Yes#Yes#Yes#Yes#Yes	Yes	Yes	1	1	1	1	1	1
15	X wants to know about Y's food preferences.	Did you enjoy eating vegetables growing up as a kid?	I did enjoy eating vegetables growing up as a kid .	I hated carrots and sprouts when I was young.	Probably no#No#Yes, subject to some conditions#I am not sure how X will interpret Y’s answer#No		No	2	2	2	3	4	2
